no,area,genre,name,is_large_store,ticket_type,map_query
744,牧園,医療・福祉,助産院 arkaya,False,全券利用可（14枚）,助産院 arkaya 霧島市 牧園
745,牧園,コンビニ,セブンイレブン 霧島牧園店,False,全券利用可（14枚）,セブンイレブン 霧島牧園店 霧島市 牧園
746,牧園,サービス,薗田写真工房,False,全券利用可（14枚）,薗田写真工房 霧島市 牧園
747,牧園,飲食店,そば茶房紗菜花,False,全券利用可（14枚）,そば茶房紗菜花 霧島市 牧園
748,牧園,サービス,茶園商店,False,全券利用可（14枚）,茶園商店 霧島市 牧園
749,牧園,その他,露乃樹さこう,False,全券利用可（14枚）,露乃樹さこう 霧島市 牧園
750,牧園,車・バイク・ガソリン,寺原給油所,False,全券利用可（14枚）,寺原給油所 霧島市 牧園
751,牧園,宿泊・温泉,湯治の宿 妙見館,False,全券利用可（14枚）,湯治の宿 妙見館 霧島市 牧園
752,牧園,スーパー・食品,冨山酒店,False,全券利用可（14枚）,冨山酒店 霧島市 牧園
753,牧園,飲食店,鳥遊ぶ森の宿 ふたり静,False,全券利用可（14枚）,鳥遊ぶ森の宿 ふたり静 霧島市 牧園
754,牧園,家電・ホームセンター,トリオ電気サービス,False,全券利用可（14枚）,トリオ電気サービス 霧島市 牧園
755,牧園,車・バイク・ガソリン,七又給油所,False,全券利用可（14枚）,七又給油所 霧島市 牧園
756,牧園,スーパー・食品,西製茶工場,False,全券利用可（14枚）,西製茶工場 霧島市 牧園
757,牧園,カフェ・スイーツ,PANYA・くらぶ,False,全券利用可（14枚）,PANYA・くらぶ 霧島市 牧園
758,牧園,宿泊・温泉,日の出温泉きのこの里,False,全券利用可（14枚）,日の出温泉きのこの里 霧島市 牧園
759,牧園,車・バイク・ガソリン,広山石油店,False,全券利用可（14枚）,広山石油店 霧島市 牧園
760,牧園,コンビニ,ファミリーマート はとや牧園店,False,全券利用可（14枚）,ファミリーマート はとや牧園店 霧島市 牧園
761,牧園,宿泊・温泉,夫婦露天風呂の宿 天テラス,False,全券利用可（14枚）,夫婦露天風呂の宿 天テラス 霧島市 牧園
762,牧園,その他,福寿鉱泉販売所,False,全券利用可（14枚）,福寿鉱泉販売所 霧島市 牧園
763,牧園,スーパー・食品,ヘンタ製茶,False,全券利用可（14枚）,ヘンタ製茶 霧島市 牧園
764,牧園,宿泊・温泉,ホテル霧島キャッスル,False,全券利用可（14枚）,ホテル霧島キャッスル 霧島市 牧園
765,牧園,その他,牧園町特産品販売所,False,全券利用可（14枚）,牧園町特産品販売所 霧島市 牧園
766,牧園,車・バイク・ガソリン,丸野石油店,False,全券利用可（14枚）,丸野石油店 霧島市 牧園
767,牧園,宿泊・温泉,民宿みちや荘,False,全券利用可（14枚）,民宿みちや荘 霧島市 牧園
768,牧園,飲食店,焼肉厨房わきもと,False,全券利用可（14枚）,焼肉厨房わきもと 霧島市 牧園
769,牧園,飲食店,薬膳小町,False,全券利用可（14枚）,薬膳小町 霧島市 牧園
770,牧園,飲食店,山の麓のレストランふれんず,False,全券利用可（14枚）,山の麓のレストランふれんず 霧島市 牧園
771,牧園,飲食店,湯けむりダイニングトントン亭,False,全券利用可（14枚）,湯けむりダイニングトントン亭 霧島市 牧園
772,牧園,宿泊・温泉,湯田商店,False,全券利用可（14枚）,湯田商店 霧島市 牧園
773,牧園,宿泊・温泉,ラビスタ霧島ヒルズ,False,全券利用可（14枚）,ラビスタ霧島ヒルズ 霧島市 牧園
774,牧園,宿泊・温泉,旅行人山荘,False,全券利用可（14枚）,旅行人山荘 霧島市 牧園
775,牧園,飲食店,レストランおふくろ,False,全券利用可（14枚）,レストランおふくろ 霧島市 牧園
776,霧島,スーパー・食品,Aコープ 霧島店,False,全券利用可（14枚）,Aコープ 霧島店 霧島市 霧島
777,霧島,その他,オーベルジュ かなざわ,False,全券利用可（14枚）,オーベルジュ かなざわ 霧島市 霧島
778,霧島,カフェ・スイーツ,OMBAK CAFE (オンバック カフェ),False,全券利用可（14枚）,OMBAK CAFE (オンバック カフェ) 霧島市 霧島
779,霧島,その他,霞燦 (カサン),False,全券利用可（14枚）,霞燦 (カサン) 霧島市 霧島
780,霧島,車・バイク・ガソリン,加藤自動車,False,全券利用可（14枚）,加藤自動車 霧島市 霧島
781,霧島,その他,霧島町蒸留所・明るい農村,False,全券利用可（14枚）,霧島町蒸留所・明るい農村 霧島市 霧島
782,霧島,飲食店,霧島峠茶屋,False,全券利用可（14枚）,霧島峠茶屋 霧島市 霧島
783,霧島,雑貨・花・ギフト,きりしまの石屋さん,False,全券利用可（14枚）,きりしまの石屋さん 霧島市 霧島
784,霧島,雑貨・花・ギフト,霧島民芸村,False,全券利用可（14枚）,霧島民芸村 霧島市 霧島
785,霧島,その他,Quili (きり),False,全券利用可（14枚）,Quili (きり) 霧島市 霧島
786,霧島,スーパー・食品,霧島屋酒店,False,全券利用可（14枚）,霧島屋酒店 霧島市 霧島
787,霧島,飲食店,黒豚の館,False,全券利用可（14枚）,黒豚の館 霧島市 霧島
788,霧島,その他,光芒,False,全券利用可（14枚）,光芒 霧島市 霧島
789,霧島,雑貨・花・ギフト,紅葉窯,False,全券利用可（14枚）,紅葉窯 霧島市 霧島
